"","."
"Topic 1","texas election case gop voting party state dismissed vote ballots"
"Topic 2","supreme court kavanaugh confirmation justice brett trump senate amp vote"
"Topic 3","affirmative action hear realize affirmativeaction chance supreme michigan caucasians bet"
"Topic 4","asian harvard americans american amp admissions many years lower policies"
"Topic 5","capitol us trump supporters storm protesters building police protrump lawmakers"
"Topic 6","court supreme ban travel trump decision ruling upholds us trumps"
"Topic 7","rights law may article without public shall executive constitution congress"
"Topic 8","asian asianamericans asianamerican used college racial law americans use hope"
"Topic 9","like just people one can time get even want also"
"Topic 10","matter liberal veronica media lives wu anyone end truth including"
"Topic 11","class obama way middle commitment evil action social rather heart"
"Topic 12","people minority two law marginalized race say goal mean population"
"Topic 13","believe today civil marriage justice don now equal women change"
"Topic 14","court whether opinion federal decision circuit gt case issue can"
"Topic 15","year election debate won presidential february general primary bill also"
"Topic 16","action affirmative admissions college gt thomas race strikes clarence harvard"
"Topic 17","rights right amp workers legal law labor act protest california"
"Topic 18","clinton fbi hillary comey emails obama new email changed clintons"
"Topic 19","case university court day father work vance nassar child action"
"Topic 20","black white racism racist women woman minorities poc ever just"
"Topic 21","trump sondland testimony pro ukraine gordon quid quo says impeachment"
"Topic 22","school schools can research based education admission part students put"
"Topic 23","students university admissions higher colleges education said race school student"
"Topic 24","people lgbtq discrimination sexual title support act gender community federal"
"Topic 25","people tired years told government america help worked money let"
"Topic 26","biden president joe inauguration th trump bidens sworn us united"
"Topic 27","take conservative real fair says seems reddit make party views"
"Topic 28","show got steven great new speaking sometimes mostly background characters"
"Topic 29","hr kennedy justice retirement kennedys anthony abortion news new just"
"Topic 30","us american war means aa k world among states america"
